taxon	sequenceID	clade	isolate	host_sci_name	host_common_name	sample_date	country
alignment/AL_TREE_Hepadnaviridae_EVE/member/ncbi-refseqs/NC_003977	NC_003977	Primate	-	Homo sapiens	-	-	-
alignment/AL_TREE_Hepadnaviridae_EVE/member/ncbi-refseqs/NC_004107	NC_004107	-	-	Marmota monax	-	-	-
alignment/AL_TREE_Hepadnaviridae_EVE/member/ncbi-refseqs/NC_005888	NC_005888	-	-	Chen rossii	-	-	-
alignment/AL_TREE_Hepadnaviridae_EVE/member/ncbi-refseqs/NC_005890	NC_005890	-	Ashy-headed sheldgoose hepatitis B virus	Chloephaga poliocephala	-	-	USA
alignment/AL_TREE_Hepadnaviridae_EVE/member/ncbi-refseqs/NC_005950	NC_005950	-	SGHBV1-13	Anser caerulescens	-	-	-
alignment/AL_TREE_Hepadnaviridae_EVE/member/ncbi-refseqs/NC_016561	NC_016561	-	PL	Psittacula krameri	-	-	Poland
alignment/AL_TREE_Hepadnaviridae_EVE/member/ncbi-refseqs/NC_020881	NC_020881	-	776	Miniopterus fuliginosus	-	-	Myanmar
alignment/AL_TREE_Hepadnaviridae_EVE/member/ncbi-refseqs/NC_024443	NC_024443	-	RBHBV/GB09-256/Hip_rub/GAB/2009	Hipposideros cf. ruber	-	-	Gabon
alignment/AL_TREE_Hepadnaviridae_EVE/member/ncbi-refseqs/NC_024444	NC_024444	-	HBHBV/GB09-403/Rhi_alc/GAB/2009	Rhinolophus alcyone	-	-	Gabon
alignment/AL_TREE_Hepadnaviridae_EVE/member/ncbi-refseqs/NC_024445	NC_024445	-	TBHBV/Pan372/Uro_bil/PAN/2010	Uroderma bilobatum	-	-	Panama
alignment/AL_TREE_Hepadnaviridae_EVE/member/ncbi-refseqs/NC_028129	NC_028129	Primate	-	Lagothrix lagothricha 	-	-	-
alignment/AL_TREE_Hepadnaviridae_EVE/member/ncbi-refseqs/NC_030445	NC_030445	-	-	Lepomis macrochirus	-	-	USA
alignment/AL_TREE_Hepadnaviridae_EVE/member/ncbi-refseqs/NC_030446	NC_030446	-	243398	Nanorana parkeri	-	-	China
alignment/AL_TREE_Hepadnaviridae_EVE/member/ncbi-refseqs/NC_035210	NC_035210	-	160050	Eudromia elegans	-	-	Germany
alignment/AL_TREE_Hepadnaviridae_EVE/member/fasta-digs-ehbv/Serinus_canaria_5499	Serinus_canaria_5499	none	-	-	-	-	-
alignment/AL_TREE_Hepadnaviridae_EVE/member/fasta-digs-ehbv/Setophaga_coronata_5503	Setophaga_coronata_5503	none	-	-	-	-	-
alignment/AL_TREE_Hepadnaviridae_EVE/member/fasta-refseqs/SkHBV	SkHBV	-	-	Saproscincus basiliscus	-	-	-
alignment/AL_TREE_Hepadnaviridae_EVE/member/fasta-refseqs/SLHBV-1	SLHBV-1	-	-	Sceloporus adleri	-	-	-
alignment/AL_TREE_Hepadnaviridae_EVE/member/fasta-digs-ehbv/Sporophila_hypoxantha_5513	Sporophila_hypoxantha_5513	none	-	-	-	-	-
alignment/AL_TREE_Hepadnaviridae_EVE/member/fasta-refseqs/TMDV	TMDV	-	-	Astyanax mexicanus	-	-	-
alignment/AL_TREE_Hepadnaviridae_EVE/member/ncbi-refseqs/U29144	U29144	-	-	Spermophilus parryii	-	-	-
